"Armon Yam	Bat Yam	61"
"Bali	Tiberias	160"
"Beth Hashalom	Haifa	30"
"Little House in Bakah	Jerusalem	33"
"Beit Kay	Nahariyya	98"
"Golden walls	Jerusalem	120"
"Grand Beach	Tel Aviv Jaffa	212"
"Dona Gracia	Tiberias	66"
"David Dead Sea Resort & Spa		606"
"Soleil	Eilat	62"
"Dan Panorama Tel Aviv	Tel Aviv Jaffa	500"
"Dan Caesarea	Caesarea	114"
"HaGoshrim Hotel & Nature 		184"
"Queen Of Sheba	Eilat	481"
"King David	Jerusalem	237"
"King Solomon Jerusalem	Jerusalem	148"
"Herods Boutique	Eilat	91"
"Herods Palace	Eilat	296"
"West Boutique Tel Aviv	Tel Aviv Jaffa	65"
"Villa Carmel	Haifa	15"
"Leonardo Plaza Haifa	Haifa	198"
"La Playa plus	Eilat	212"
"Jerusalem Tower	Jerusalem	120"
"Miami Hotel	Ashdod	35"
"C Hotel Neve Ilan		160"
"Plaza Nazareth Illit	Nazareth Illit	182"
"Prima Oasis 		144"
"Prima Park	Jerusalem	217"
"Caesar Premier Jerusalem	Jerusalem	150"
"Club Hotel Tiberias	Tiberias	300"
"Crowne Plaza City Center	Tel Aviv Jaffa	273"
"Ramat Rachel	Ramat Rachel	165"
"Shefayim	Shefayim	145"
"Sheraton Tel Aviv	Tel Aviv Jaffa	318"
"Ye'arim		220"
"U Coral Beach Club	Eilat	287"
"Carlton Nahariya	Nahariyya	200"
"Ramon Suites	Mitzpe Ramon	49"
"Rivoli Hotel	Jerusalem	31"
"Ein Gedi		166"
"Club Ramon	Mitzpe Ramon	42"
"Brown	Tel Aviv Jaffa;Tel Aviv Jaffa	30"
"Bat Yam	Bat Yam	20"
"Zippori Bakfar		75"
"Golden Crowne	Nazareth	243"
"Club In Eilat	Eilat	168"
"Sea Side	Tel Aviv Jaffa	24"
"Tzuba (Belmont)Ñ		64"
"Dan Panorama Eilat	Eilat	277"
"Sea Life	Nahariya	62"
"St. Gabriel	Nazareth	60"
"Nof Ginosar	Ginnosar	170"
"Red Sea Hotel	Eilat	53"
"The Seasons	Netanya	100"
"Vital Tel aviv	Tel Aviv Jaffa	65"
"Yehelim Boutique Hotel	Arad	12"
"Leonardo Ashkelon	Ashkelon	131"
"Herods Herzliya	Herzliya	252"
"Leonardo Plaza Netanya	Netanya	152"
"Bay Club	Haifa	52"
"Yam Hotel	Tel Aviv Jaffa	42"
"Okeanos Suites Herzliya	Herzliya	57"
"Olive Nahariya Hotel | Business Hotel	Nahariyya	24"
"Nof Zuqim	Mitzpe Ramon	12"
"Jacob Samuel	Tel Aviv Jaffa	22"
"Lot Spa Hotel Dead Sea		227"
"Lily & Bloom Boutique Hotel	Tel Aviv Jaffa	37"
